# Template: sn2016iks_epoch_0
# Type: Ia Ia-csm
# RLAP: 6.868
# Redshift: 0.003306
# Template Index: 4
# Flattened template spectrum
#wavelength[A] flux[arbitrary]
  3610.50723      0.02414
  3615.39846      0.02093
  3620.29631     -0.00084
  3625.20080     -0.01663
  3630.11193     -0.01126
  3635.02971      0.00114
  3639.95416      0.00384
  3644.88528     -0.00791
  3649.82308     -0.01575
  3654.76757     -0.03229
  3659.71875     -0.01988
  3664.67665     -0.00586
  3669.64126      0.00139
  3674.61259     -0.00632
  3679.59066      0.01326
  3684.57548      0.01145
  3689.56705     -0.00715
  3694.56538      0.00145
  3699.57048     -0.01410
  3704.58236     -0.01590
  3709.60103     -0.02564
  3714.62650     -0.03422
  3719.65878     -0.00057
  3724.69787      0.04754
  3729.74380      0.05728
  3734.79655      0.08092
  3739.85616      0.07373
  3744.92262      0.06338
  3749.99594      0.05177
  3755.07613      0.04684
  3760.16321      0.06492
  3765.25718      0.02701
  3770.35804      0.02859
  3775.46582      0.01383
  3780.58052     -0.00533
  3785.70215     -0.02293
  3790.83072      0.00334
  3795.96623     -0.01864
  3801.10870     -0.01907
  3806.25814     -0.02549
  3811.41455     -0.03008
  3816.57795     -0.05023
  3821.74834     -0.04188
  3826.92574     -0.02855
  3832.11016     -0.02457
  3837.30159     -0.01961
  3842.50006     -0.02252
  3847.70557     -0.01331
  3852.91813     -0.03450
  3858.13776     -0.01957
  3863.36446     -0.00984
  3868.59823     -0.01331
  3873.83910      0.00689
  3879.08707     -0.01732
  3884.34214     -0.00409
  3889.60434      0.00592
  3894.87366     -0.04571
  3900.15012     -0.00662
  3905.43374      0.01039
  3910.72450      0.03038
  3916.02244      0.05289
  3921.32755      0.06199
  3926.63985      0.06981
  3931.95935      0.04467
  3937.28606      0.02460
  3942.61998      0.02284
  3947.96112      0.02412
  3953.30950      0.02519
  3958.66513      0.03350
  3964.02801      0.04674
  3969.39816      0.03222
  3974.77558      0.02622
  3980.16029      0.02915
  3985.55229      0.05091
  3990.95160      0.05793
  3996.35822      0.06021
  4001.77217      0.06606
  4007.19345      0.06107
  4012.62207      0.06432
  4018.05805      0.06022
  4023.50139      0.07868
  4028.95211      0.08253
  4034.41021      0.08514
  4039.87571      0.07266
  4045.34861      0.06584
  4050.82892      0.09153
  4056.31666      0.07497
  4061.81183      0.08061
  4067.31445      0.06034
  4072.82452      0.07888
  4078.34206      0.05576
  4083.86707      0.06980
  4089.39957      0.06064
  4094.93956      0.04881
  4100.48705      0.03018
  4106.04206      0.02455
  4111.60460      0.01806
  4117.17467      0.01697
  4122.75229      0.00042
  4128.33747      0.01603
  4133.93021     -0.00549
